date,cusip,series,coupon,maturity_date,price,yield,tenor
02/01/2023,BY4236745,FR95,6.375,15/08/2028,99.102,6.567,05_year
03/01/2023,BY4236745,FR95,6.375,15/08/2028,98.71,6.652,05_year
04/01/2023,BY4236745,FR95,6.375,15/08/2028,98.845,6.623,05_year
05/01/2023,BY4236745,FR95,6.375,15/08/2028,98.989,6.592,05_year
06/01/2023,BY4236745,FR95,6.375,15/08/2028,98.945,6.602,05_year
09/01/2023,BY4236745,FR95,6.375,15/08/2028,99.34,6.516,05_year
10/01/2023,BY4236745,FR95,6.375,15/08/2028,99.621,6.455,05_year
11/01/2023,BY4236745,FR95,6.375,15/08/2028,99.707,6.437,05_year
12/01/2023,BY4236745,FR95,6.375,15/08/2028,99.969,6.38,05_year
13/01/2023,BY4236745,FR95,6.375,15/08/2028,99.936,6.387,05_year
16/01/2023,BY4236745,FR95,6.375,15/08/2028,99.691,6.44,05_year
17/01/2023,BY4236745,FR95,6.375,15/08/2028,99.807,6.415,05_year
18/01/2023,BY4236745,FR95,6.375,15/08/2028,99.983,6.377,05_year
19/01/2023,BY4236745,FR95,6.375,15/08/2028,100.154,6.341,05_year
20/01/2023,BY4236745,FR95,6.375,15/08/2028,100.177,6.336,05_year
23/01/2023,BY4236745,FR95,6.375,15/08/2028,,,05_year
24/01/2023,BY4236745,FR95,6.375,15/08/2028,100.154,6.341,05_year
25/01/2023,BY4236745,FR95,6.375,15/08/2028,99.959,6.383,05_year
26/01/2023,BY4236745,FR95,6.375,15/08/2028,99.91,6.394,05_year
27/01/2023,BY4236745,FR95,6.375,15/08/2028,99.806,6.416,05_year
30/01/2023,BY4236745,FR95,6.375,15/08/2028,99.794,6.419,05_year
31/01/2023,BY4236745,FR95,6.375,15/08/2028,100.124,6.347,05_year
01/02/2023,BY4236745,FR95,6.375,15/08/2028,100.337,6.301,05_year
02/02/2023,BY4236745,FR95,6.375,15/08/2028,100.504,6.265,05_year
03/02/2023,BY4236745,FR95,6.375,15/08/2028,100.64,6.236,05_year
06/02/2023,BY4236745,FR95,6.375,15/08/2028,100.298,6.31,05_year
07/02/2023,BY4236745,FR95,6.375,15/08/2028,100.136,6.345,05_year
08/02/2023,BY4236745,FR95,6.375,15/08/2028,100.227,6.325,05_year
09/02/2023,BY4236745,FR95,6.375,15/08/2028,100.636,6.237,05_year
10/02/2023,BY4236745,FR95,6.375,15/08/2028,100.232,6.324,05_year
13/02/2023,BY4236745,FR95,6.375,15/08/2028,100.044,6.365,05_year
14/02/2023,BY4236745,FR95,6.375,15/08/2028,100.059,6.362,05_year
15/02/2023,BY4236745,FR95,6.375,15/08/2028,99.967,6.382,05_year
16/02/2023,BY4236745,FR95,6.375,15/08/2028,100.297,6.31,05_year
17/02/2023,BY4236745,FR95,6.375,15/08/2028,100.133,6.346,05_year
20/02/2023,BY4236745,FR95,6.375,15/08/2028,100.134,6.345,05_year
21/02/2023,BY4236745,FR95,6.375,15/08/2028,100.022,6.37,05_year
22/02/2023,BY4236745,FR95,6.375,15/08/2028,99.693,6.442,05_year
