date,idrusd,vix_index
2023/01/02,15592.0,21.67
2023/01/03,15572.0,22.9
2023/01/04,15590.0,22.01
2023/01/05,15615.0,22.46
2023/01/06,15610.0,21.13
2023/01/09,15635.0,21.97
2023/01/10,15574.0,20.58
2023/01/11,15589.0,21.09
2023/01/12,15527.0,18.83
2023/01/13,15366.0,18.35
2023/01/16,15177.0,19.49
2023/01/17,15019.0,19.36
2023/01/18,15154.0,20.34
2023/01/19,15137.0,20.52
2023/01/20,15113.0,19.85
2023/01/23,,19.81
2023/01/24,15121.0,19.2
2023/01/25,14930.0,19.08
2023/01/26,14958.0,18.73
2023/01/27,14964.0,18.51
2023/01/30,14978.0,19.94
2023/01/31,14979.0,19.4
2023/02/01,14992.0,17.87
2023/02/02,14991.0,18.73
2023/02/03,14868.0,18.33
2023/02/06,14898.0,19.43
2023/02/07,15055.0,18.66
2023/02/08,15139.0,19.63
2023/02/09,15122.0,20.71
2023/02/10,15120.0,20.53
2023/02/13,15140.0,20.34
2023/02/14,15216.0,18.91
2023/02/15,15168.0,18.23
2023/02/16,15194.0,20.17
2023/02/17,15176.0,20.02
2023/02/20,15199.0,21.23
2023/02/21,15168.0,22.87
2023/02/22,15179.0,22.29
2023/02/23,15218.0,21.14
2023/02/24,15187.0,21.67
2023/02/27,15216.0,20.95
2023/02/28,15274.0,20.7
2023/03/01,15240.0,20.58
2023/03/02,15250.0,19.59
2023/03/03,15273.0,18.49
2023/03/06,15306.0,18.61
2023/03/07,15301.0,19.59
2023/03/08,15359.0,19.11
2023/03/09,15451.0,22.61
2023/03/10,15438.0,24.8
2023/03/13,15468.0,26.52
2023/03/14,15374.0,23.73
2023/03/15,15380.0,26.14
2023/03/16,15365.0,22.99
2023/03/17,15418.0,25.51
2023/03/20,15364.0,24.15
2023/03/21,15372.0,21.38
2023/03/22,,22.26
2023/03/23,,22.61
2023/03/24,15349.0,21.74
2023/03/27,15189.0,20.6
2023/03/28,15174.0,19.97
2023/03/29,15088.0,19.12
2023/03/30,15094.0,19.02
2023/03/31,15062.0,18.7
2023/04/03,14977.0,18.55
2023/04/04,14990.0,19.0
2023/04/05,14913.0,19.08
2023/04/06,14933.0,18.4
2023/04/10,14943.0,18.97
