date,auction_month,auction_year,incoming_bio_log,awarded_bio_log,bid_to_cover,Random Forest (Rp T),Gradient Boosting (Rp T),AdaBoost (Rp T),Stepwise Regression (Rp T),Ensemble Mean (Rp T)
01/01/2010,1.0,2010.0,4.441218957,4.1430148,1.987028777,,,,,
01/02/2010,2.0,2010.0,4.385275512,3.935759104,2.815246377,,,,,
01/03/2010,3.0,2010.0,4.537579853,4.17301135,2.315093329,,,,,
01/04/2010,4.0,2010.0,4.696439395,4.128560807,3.697248049,,,,,
01/05/2010,5.0,2010.0,4.590575472,4.058805487,3.402279476,,,,,
01/06/2010,6.0,2010.0,4.621902961,4.131907243,3.090264965,,,,,
01/07/2010,7.0,2010.0,4.438116547,4.012837225,2.662436891,,,,,
01/08/2010,8.0,2010.0,4.521843892,3.903089987,4.156749996,,,,,
01/09/2010,9.0,2010.0,4.503191243,3.763427994,5.492413797,,,,,
01/10/2010,10.0,2010.0,4.163763481,3.554125582,4.07040759,,,,,
01/11/2010,11.0,2010.0,3.933967884,3.397940009,3.4358,,,,,
01/12/2010,12.0,2010.0,3.688152756,3.301029996,2.438500002,,,,,
01/01/2011,1.0,2011.0,4.431604972,4.051152522,2.401333334,,,,,
01/02/2011,2.0,2011.0,4.527279231,4.079181246,2.806066668,,,,,
01/03/2011,3.0,2011.0,4.766014065,4.290034611,2.992123077,,,,,
01/04/2011,4.0,2011.0,4.674254725,4.164352856,3.235205478,,,,,
01/05/2011,5.0,2011.0,4.505263966,4.112269768,2.471691122,,,,,
01/06/2011,6.0,2011.0,4.496051874,4.0,3.13366,,,,,
01/07/2011,7.0,2011.0,4.78893796,4.174641193,4.114307689,,,,,
01/08/2011,8.0,2011.0,4.659669998,4.042969073,4.137146735,,,,,
01/09/2011,9.0,2011.0,4.468335513,4.084576278,2.419687244,,,,,
01/10/2011,10.0,2011.0,4.480297334,4.106870544,2.362799061,,,,,
01/11/2011,11.0,2011.0,4.487110082,4.131939295,2.265535057,,,,,
01/01/2012,1.0,2012.0,4.913705265,4.338954252,3.75621993,,,,,
01/02/2012,2.0,2012.0,4.868238751,4.441648013,2.670488662,,,,,
01/03/2012,3.0,2012.0,4.507491559,4.03802374,2.947595053,,,,,
01/04/2012,4.0,2012.0,4.658821959,4.173768823,3.055294905,,,,,
01/05/2012,5.0,2012.0,4.512250686,3.995196292,3.288928214,,,,,
01/06/2012,6.0,2012.0,4.496090678,4.1987945,1.982878838,,,,,
01/07/2012,7.0,2012.0,4.675713284,4.215108581,2.888049968,,,,,
01/08/2012,8.0,2012.0,4.483826842,4.126456113,2.277040361,,,,,
01/09/2012,9.0,2012.0,4.467471951,4.100473936,2.328080615,,,,,
01/10/2012,10.0,2012.0,4.63334623,4.265030198,2.335156717,,,,,
01/11/2012,11.0,2012.0,4.461498527,3.875061263,3.858666669,,,,,
01/12/2012,12.0,2012.0,3.961563462,3.079181246,7.627499994,,,,,
01/01/2013,1.0,2013.0,4.524023339,4.243038049,1.909788572,,,,,
01/02/2013,2.0,2013.0,4.737323866,4.302114377,2.724014964,,,,,
01/03/2013,3.0,2013.0,4.458565335,4.216561735,1.745836624,,,,,
01/04/2013,4.0,2013.0,4.65322699,4.252003021,2.518975651,,,,,
01/05/2013,5.0,2013.0,4.586412877,4.346450778,1.737649179,,,,,
01/06/2013,6.0,2013.0,4.346499671,3.86569606,3.025544961,,,,,
01/07/2013,7.0,2013.0,4.813949749,4.580525834,1.711685276,,,,,
01/08/2013,8.0,2013.0,4.533521676,4.131618664,2.522917282,,,,,
01/09/2013,9.0,2013.0,4.870554302,4.417554724,2.837916268,,,,,
01/10/2013,10.0,2013.0,4.801374207,4.400261611,2.518329751,,,,,
01/11/2013,11.0,2013.0,4.565508907,4.311757886,1.793705008,,,,,
01/12/2013,12.0,2013.0,4.002921638,3.602059991,2.516874998,,,,,
01/01/2014,1.0,2014.0,4.816224724,4.424751002,2.4630528,,,,,
01/02/2014,2.0,2014.0,4.797799174,4.469969209,2.127305998,,,,,
01/03/2014,3.0,2014.0,4.867024125,4.427069629,2.753940136,,,,,
01/04/2014,4.0,2014.0,4.811425524,4.453929592,2.277696906,,,,,
01/05/2014,5.0,2014.0,4.546318055,4.294576439,1.785425017,,,,,
01/06/2014,6.0,2014.0,4.627131233,4.330920831,1.977927654,,,,,
01/07/2014,7.0,2014.0,4.658649484,4.475743807,1.523721787,,,,,
01/08/2014,8.0,2014.0,4.670125199,4.484086199,1.534754798,,,,,
01/09/2014,9.0,2014.0,4.91829094,4.547467022,2.348680368,,,,,
01/10/2014,10.0,2014.0,4.600563443,4.17594647,2.658379461,,,,,
01/11/2014,11.0,2014.0,4.355202405,3.840106094,3.274132951,,,,,
01/01/2015,1.0,2015.0,5.043272659,4.583935203,2.879635086,,,,,
01/02/2015,2.0,2015.0,4.98947785,4.516997846,2.96811008,,,,,
01/03/2015,3.0,2015.0,4.820795662,4.489466281,2.144516444,,,,,
01/04/2015,4.0,2015.0,4.447863187,4.259354927,1.543505778,,,,,
01/05/2015,5.0,2015.0,4.526097505,4.37051309,1.430818067,,,,,
01/06/2015,6.0,2015.0,4.894685232,4.597097071,1.984212408,,,,,
01/07/2015,7.0,2015.0,4.520450779,4.25358029,1.848717232,,,,,
01/08/2015,8.0,2015.0,4.826599528,4.519696767,2.027228769,,,,,
01/09/2015,9.0,2015.0,4.62936576,4.337459261,1.95842299,,,,,
01/10/2015,10.0,2015.0,4.494751339,4.351796307,1.38980872,,,,,
01/11/2015,11.0,2015.0,4.589123769,4.36267093,1.684429502,,,,,
01/12/2015,12.0,2015.0,4.276300925,3.954242509,2.099222224,,,,,
01/01/2016,1.0,2016.0,4.862102744,4.532180885,2.13757745,,,,,
01/02/2016,2.0,2016.0,4.924103465,4.619354247,2.017201203,,,,,
01/03/2016,3.0,2016.0,4.939078245,4.723701894,1.642012092,,,,,
01/04/2016,4.0,2016.0,4.929450092,4.637189422,1.960020753,,,,,
01/05/2016,5.0,2016.0,4.816257213,4.530199698,1.93222419,,,,,
01/06/2016,6.0,2016.0,4.872554242,4.612635536,1.819360269,,,,,
01/07/2016,7.0,2016.0,4.83384805,4.369586891,2.912467979,,,,,
01/08/2016,8.0,2016.0,5.139173887,4.774151859,2.317512195,,,,,
01/09/2016,9.0,2016.0,4.775298722,4.556302501,1.655755557,,,,,
01/10/2016,10.0,2016.0,4.574607628,4.377306251,1.575075503,,,,,
01/11/2016,11.0,2016.0,4.439166841,4.216297887,1.670586449,,,,,
01/12/2016,12.0,2016.0,4.466677853,3.792391689,4.723741936,,,,,
01/01/2017,1.0,2017.0,5.27365211,4.846540335,2.67369445,,,,,
01/02/2017,2.0,2017.0,4.985989748,4.684554538,2.001866951,,,,,
01/03/2017,3.0,2017.0,4.958394719,4.643156466,2.066513531,,,,,
01/04/2017,4.0,2017.0,5.071479915,4.622524862,2.811609827,,,,,
01/05/2017,5.0,2017.0,5.004633008,4.625029347,2.396644733,,,,,
01/06/2017,6.0,2017.0,4.809604152,4.500785173,2.036193183,,,,,
01/07/2017,7.0,2017.0,4.967905841,4.670570525,1.983057543,,,,,
01/08/2017,8.0,2017.0,5.214322912,4.762153192,2.832498703,,,,,
01/09/2017,9.0,2017.0,5.212004256,4.685741739,3.359406185,,,,,
