date,auction_month,auction_year,inflation_rate,dpk_bio_log,move,number_series,long_holiday
01/01/2026,1,2026,2.394457952,6.999456314,76.36882383,34,0
01/02/2026,2,2026,2.372963952,7.002900928,76.48036939,34,0
01/03/2026,3,2026,2.351547411,7.006196863,76.58972666,26,1
01/04/2026,4,2026,2.330205972,7.009632397,76.69696229,34,0
01/05/2026,5,2026,2.308937358,7.013063587,76.80214057,34,0
01/06/2026,6,2026,2.088194336,7.016656371,76.86575352,42,0
01/07/2026,7,2026,2.133169364,7.020248796,76.93181751,34,0
01/08/2026,8,2026,1.901703695,7.02385735,77.03117012,34,0
01/09/2026,9,2026,1.590313179,7.02746187,77.12868999,42,0
01/10/2026,10,2026,1.406894207,7.03106639,77.22443129,34,0
01/11/2026,11,2026,1.500516968,7.034502351,77.31844631,34,0
01/12/2026,12,2026,1.322021568,7.037952178,77.41078559,25,1
