date,auction_month,auction_year,bi_rate,spread_bifd,yield10_ibpa,inflation_rate,idprod_rate,jkse_avg,idrusd_avg,foreign_reserves_log,dpk_bio_log,bnkp_mon_avg,cbbp_gross_avg,forh_avg,forh_avg_sqr,inpp_avg,othp_avg,move,incoming_mio_log,awarded_mio_log,incoming_bio_log,awarded_bio_log,number_series,number_series_sqr,bid_to_cover,bi_covid,usfdtr_policyrate,long_holiday,m2all_bio_log,m1all_bio_log,m1currency_bio_log,m1demanddeposits_bio_log,m2quasi_bio_log,m2securities_bio_log,srbi_incomingbio_log,srbi_awardedbio_log,srbi_bid_to_cover,srbi_way_incoming,srbi_way_awarded,yield01_ibpa,yield05_ibpa
2010-01-01,1,2010,6.5,6.25,9.609098361,3.72,4.14369521,2619.8974,9275.45,4.80644305,6.289787327,43.2245355,3.70447355,19.2124475,369.1181389,18.9402125,14.9183325,93.05263278,7.441218957,7.1430148,4.441218957,4.1430148,12,144,1.987028777,0,0.25,0,6.316779387,5.695942729,5.325948306,5.454411782,6.195915987,3.861766132,0,0,0,0,0,7.01913048,8.375558335
2010-02-01,2,2010,6.5,6.25,9.685249906,3.81,4.83065442,2548.57905,9348.210526,4.807668813,6.28592574,41.99170579,3.454959053,19.87293737,394.9336396,19.15659842,15.52380211,86.15263086,7.385275512,6.935759104,4.385275512,3.935759104,12,144,2.815246377,0,0.25,0,6.315231414,5.690270338,5.3257377,5.444631135,6.195521092,3.890148172,0,0,0,0,0,7.216973503,8.411382144
2010-03-01,3,2010,6.5,6.25,9.211319021,3.43,8.59649912,2692.109597,9173.727273,4.821682104,6.297161056,40.48723682,3.29947,21.379225,457.0712616,19.22477409,15.60929455,79.99130481,7.537579853,7.17301135,4.537579853,4.17301135,15,225,2.315093326,0,0.25,0,6.324710919,5.694131902,5.311929768,5.461465196,6.207196112,3.79579315,0,0,0,0,0,7.09745008,8.327902532
2010-04-01,4,2010,6.5,6.25,8.776755654,3.91,7.65480488,2895.433815,9027.333333,4.863122801,6.287538163,39.72954952,2.689310238,23.4725881,550.9623919,19.0015219,15.10702952,85.78571465,7.696439395,7.128560807,4.696439395,4.128560807,18,324,3.697248048,0,0.25,0,6.325520495,5.69435744,5.325085035,5.452288576,6.208227037,3.785552621,0,0,0,0,0,6.85032865,8.066544443
2010-05-01,5,2010,6.5,6.25,9.035035196,4.16,6.11632174,2774.601164,9183.210526,4.83847361,6.294680234,39.01735158,2.985023105,24.03201526,577.5377576,18.69938474,15.26622579,102.2949993,7.590575472,7.058805487,4.590575472,4.058805487,18,324,3.402279476,0,0.25,0,6.3310696,5.710967377,5.331821667,5.476121459,6.210313532,3.795716692,0,0,0,0,0,6.85845389,8.413221334
2010-06-01,6,2010,6.5,6.25,8.598541537,5.05,9.52111505,2851.943592,9148.363636,4.848862767,6.311022996,38.35838636,3.085675273,24.58851455,604.5950476,18.61954136,15.34788,97.16363629,7.621902961,7.131907243,4.621902961,4.131907243,17,289,3.090264964,0,0.25,0,6.348527665,5.73671941,5.347969879,5.508633816,6.225405951,3.729568107,0,0,0,0,0,6.849261846,7.938183826
2010-07-01,7,2010,6.5,6.25,8.268948217,6.22,3.79869536,2977.059803,9049.454545,4.864288478,6.307692389,36.47232091,3.155086727,26.76372773,716.2971219,18.61076045,14.99810273,81.01428586,7.438116547,7.012837225,4.438116547,4.012837225,17,289,2.662436893,0,0.25,0,6.345881021,5.73218932,5.358389532,5.493467852,6.223351393,3.732368827,0,0,0,0,0,6.386914933,7.581771218
2010-08-01,8,2010,6.5,6.25,8.047966878,6.4,3.41632754,3073.181083,8971.761905,4.878173876,6.309766395,35.66283429,2.849317476,27.7222881,768.5252572,18.34067429,15.42488571,90.15909056,7.521843892,6.903089987,4.521843892,3.903089987,8,64,4.15675,0,0.25,1,6.349561028,5.744679982,5.382316638,5.497383719,6.224407995,3.648119863,0,0,0,0,0,5.881819869,7.53785278
2010-09-01,9,2010,6.5,6.25,7.909715541,5.8,-3.11620148,3335.575468,8975.842105,4.905905924,6.320009742,35.91260789,2.769397421,27.68349789,766.3760557,18.23153895,15.40295737,97.20476132,7.503191243,6.763427994,4.503191243,3.763427994,8,64,5.492413793,0,0.25,0,6.356972728,5.740316289,5.361396645,5.505308155,6.235538244,3.696751181,0,0,0,0,0,6.158995663,7.465764584
2010-10-01,10,2010,6.5,6.25,7.243459776,5.67,1.65414948,3594.712367,8927.904762,4.932851021,6.325811933,35.66280667,1.874970381,29.43294048,866.2979851,17.90429524,15.12498905,89.81500015,7.163763481,6.554125582,4.163763481,3.554125582,9,81,4.070407594,0,0.25,0,6.363394961,5.744722276,5.372376165,5.504932614,6.242535528,3.725981016,0,0,0,0,0,5.892257191,6.63635924
